Kernel	K	Precision	Recall	F1	Prediction_Task	Aggregator
GIN	1	0.3678	0.2658	0.3086	overall	avg
GIN	2	0.2831	0.3941	0.3295	overall	avg
GIN	3	0.2245	0.4702	0.3039	overall	avg
GIN	4	0.1818	0.5010	0.2668	overall	avg
GIN	5	0.1579	0.5413	0.2444	overall	avg
GIN	1	0.2193	0.1192	0.1544	rare	avg
GIN	2	0.2149	0.2583	0.2346	rare	avg
GIN	3	0.1842	0.3468	0.2406	rare	avg
GIN	4	0.1535	0.3749	0.2178	rare	avg
GIN	5	0.1333	0.4063	0.2008	rare	avg
GCN	1	0.4835	0.3397	0.3990	overall	avg
GCN	2	0.3926	0.5459	0.4567	overall	avg
GCN	3	0.3030	0.6235	0.4078	overall	avg
GCN	4	0.2448	0.6667	0.3581	overall	avg
GCN	5	0.2107	0.7147	0.3255	overall	avg
GCN	1	0.3860	0.2349	0.2921	rare	avg
GCN	2	0.3991	0.5045	0.4457	rare	avg
GCN	3	0.2983	0.5502	0.3868	rare	avg
GCN	4	0.2456	0.6038	0.3492	rare	avg
GCN	5	0.2105	0.6480	0.3178	rare	avg
GCN	1	0.5124	0.3727	0.4315	overall	max
GCN	2	0.3905	0.5297	0.4496	overall	max
GCN	3	0.3113	0.6340	0.4176	overall	max
GCN	4	0.2562	0.6955	0.3745	overall	max
GCN	5	0.2165	0.7361	0.3346	overall	max
GCN	1	0.4123	0.2613	0.3198	rare	max
GCN	2	0.3640	0.4300	0.3943	rare	max
GCN	3	0.2953	0.5418	0.3823	rare	max
GCN	4	0.2500	0.6108	0.3548	rare	max
GCN	5	0.2140	0.6613	0.3234	rare	max
